product_id,product_name,category_id,launch_date,price
p-1,MacBook Air M1,cat-1,27-05-2022,995.42
p-2,MacBook Air M1 (2023),cat-1,08-09-2022,301.3
p-3,MacBook Air M1 (2022),cat-1,06-12-2018,217.82
p-4,MacBook Air M1 (Pro),cat-1,16-02-2025,729.88
p-5,MacBook Air M1 (Max),cat-1,06-08-2024,732.42
p-6,MacBook Air M1 (SE),cat-1,28-11-2021,997.53
p-7,MacBook Air M1 (Gen 2),cat-1,27-06-2017,78.5
p-8,MacBook Air M1 (Gen 3),cat-1,10-06-2016,664.09
p-9,MacBook Air M1 (Wireless),cat-1,28-05-2023,488.32
p-10,MacBook Pro 13-inch M2,cat-1,26-10-2019,105.38
p-11,MacBook Pro 13-inch M2 (2023),cat-1,02-08-2023,743.14
p-12,MacBook Pro 13-inch M2 (2022),cat-1,11-07-2019,684.92
p-13,MacBook Pro 13-inch M2 (Pro),cat-1,08-12-2024,526.24
p-14,MacBook Pro 13-inch M2 (Max),cat-1,05-12-2020,581.47
p-15,MacBook Pro 13-inch M2 (SE),cat-1,12-07-2020,914.39
p-16,MacBook Pro 13-inch M2 (Gen 2),cat-1,03-12-2024,778.12
p-17,MacBook Pro 13-inch M2 (Gen 3),cat-1,15-11-2017,434.4
p-18,MacBook Pro 13-inch M2 (Wireless),cat-1,22-01-2020,130.93
p-19,MacBook Pro 16-inch M1 Pro,cat-1,29-10-2024,699.65
p-20,MacBook Pro 16-inch M1 Pro (2023),cat-1,04-02-2016,373.54
p-21,MacBook Pro 16-inch M1 Pro (2022),cat-1,24-07-2020,156.11
p-22,MacBook Pro 16-inch M1 Pro (Pro),cat-1,02-12-2023,74.66
p-23,MacBook Pro 16-inch M1 Pro (Max),cat-1,20-01-2017,351.3
p-24,MacBook Pro 16-inch M1 Pro (SE),cat-1,20-12-2024,682.88
p-25,MacBook Pro 16-inch M1 Pro (Gen 2),cat-1,19-08-2021,892.06
p-26,MacBook Pro 16-inch M1 Pro (Gen 3),cat-1,09-08-2021,166.12
p-27,MacBook Pro 16-inch M1 Pro (Wireless),cat-1,06-04-2020,68.28
p-28,MacBook Pro 14-inch M1 Max,cat-1,16-10-2019,404.17
p-29,MacBook Pro 14-inch M1 Max (2023),cat-1,08-08-2016,149.89
p-30,MacBook Pro 14-inch M1 Max (2022),cat-1,01-11-2023,815.47
p-31,MacBook Pro 14-inch M1 Max (Pro),cat-1,09-09-2017,559.44
p-32,MacBook Pro 14-inch M1 Max (Max),cat-1,29-09-2020,916.96
p-33,MacBook Pro 14-inch M1 Max (SE),cat-1,16-07-2024,993
p-34,MacBook Pro 14-inch M1 Max (Gen 2),cat-1,18-11-2016,234.78
p-35,MacBook Pro 14-inch M1 Max (Gen 3),cat-1,21-10-2018,882.07
p-36,MacBook Pro 14-inch M1 Max (Wireless),cat-1,05-04-2023,308.03
p-37,MacBook Air M2,cat-1,20-10-2021,435.41
p-38,MacBook Air M2 (2023),cat-1,29-10-2019,455.44
p-39,MacBook Air M2 (2022),cat-1,24-09-2019,729.37
p-40,MacBook Air M2 (Pro),cat-1,13-05-2024,682.44
p-41,MacBook Air M2 (Max),cat-1,29-04-2024,517.21
p-42,MacBook Air M2 (SE),cat-1,21-01-2021,357.7
p-43,MacBook Air M2 (Gen 2),cat-1,11-05-2021,90.49
p-44,MacBook Air M2 (Gen 3),cat-1,22-02-2018,383.07
p-45,MacBook Air M2 (Wireless),cat-1,04-09-2024,206.53
p-46,MacBook Pro 15-inch Intel,cat-1,03-03-2025,364.99
p-47,MacBook Pro 15-inch Intel (2023),cat-1,20-11-2025,522.86
p-48,MacBook Pro 15-inch Intel (2022),cat-1,16-05-2022,906.86
p-49,MacBook Pro 15-inch Intel (Pro),cat-1,21-11-2019,912.06
p-50,MacBook Pro 15-inch Intel (Max),cat-1,31-01-2019,272.9
p-51,MacBook Pro 15-inch Intel (SE),cat-1,28-09-2017,613.63
p-52,MacBook Pro 15-inch Intel (Gen 2),cat-1,18-05-2025,458.77
p-53,MacBook Pro 15-inch Intel (Gen 3),cat-1,26-10-2020,848.84
p-54,MacBook Pro 15-inch Intel (Wireless),cat-1,25-06-2023,198.19
p-55,MacBook Pro 13-inch Intel,cat-1,12-04-2021,820.8
p-56,MacBook Pro 13-inch Intel (2023),cat-1,12-01-2018,242.01
p-57,MacBook Pro 13-inch Intel (2022),cat-1,21-12-2018,57.54
p-58,MacBook Pro 13-inch Intel (Pro),cat-1,06-03-2017,635.36
p-59,MacBook Pro 13-inch Intel (Max),cat-1,22-02-2024,745.81
p-60,MacBook Pro 13-inch Intel (SE),cat-1,17-08-2023,124.73
p-61,MacBook Pro 13-inch Intel (Gen 2),cat-1,26-04-2023,324.28
p-62,MacBook Pro 13-inch Intel (Gen 3),cat-1,10-05-2023,256.67
p-63,MacBook Pro 13-inch Intel (Wireless),cat-1,19-12-2017,341.18
p-64,AirPods Pro,cat-2,10-11-2025,833.98
p-65,AirPods Pro (2023),cat-2,22-01-2025,492.42
p-66,AirPods Pro (2022),cat-2,09-10-2022,917.26
p-67,AirPods Pro (Pro),cat-2,16-08-2019,746.27
p-68,AirPods Pro (Max),cat-2,11-04-2020,642.68
p-69,AirPods Pro (SE),cat-2,05-07-2021,423.72
p-70,AirPods Pro (Gen 2),cat-2,15-12-2016,431.95
p-71,AirPods Pro (Gen 3),cat-2,10-12-2023,938.69
p-72,AirPods Pro (Wireless),cat-2,14-07-2025,477.75
p-73,AirPods 3rd Gen,cat-2,10-12-2020,851.58
p-74,AirPods 3rd Gen (2023),cat-2,16-02-2019,678.31
p-75,AirPods 3rd Gen (2022),cat-2,04-08-2023,709.19
p-76,AirPods 3rd Gen (Pro),cat-2,17-08-2018,110.51
p-77,AirPods 3rd Gen (Max),cat-2,30-10-2020,738.65
p-78,AirPods 3rd Gen (SE),cat-2,17-03-2020,994.4
p-79,AirPods 3rd Gen (Gen 2),cat-2,17-05-2024,421.9
p-80,AirPods 3rd Gen (Gen 3),cat-2,09-11-2019,734.72
p-81,AirPods 3rd Gen (Wireless),cat-2,22-02-2018,353.18
p-82,AirPods Max,cat-2,08-08-2021,309.53
p-83,AirPods Max (2023),cat-2,01-08-2016,323.75
p-84,AirPods Max (2022),cat-2,17-04-2018,724.96
p-85,AirPods Max (Pro),cat-2,11-10-2017,628.51
p-86,AirPods Max (Max),cat-2,01-08-2023,374.26
p-87,AirPods Max (SE),cat-2,04-01-2017,605.44
p-88,AirPods Max (Gen 2),cat-2,24-01-2020,762.54
p-89,AirPods Max (Gen 3),cat-2,01-01-2018,285.33
p-90,AirPods Max (Wireless),cat-2,09-05-2018,715.27
p-91,Beats Studio3 Wireless,cat-2,27-07-2025,463.35
p-92,Beats Studio3 Wireless (2023),cat-2,06-06-2020,674.1
p-93,Beats Studio3 Wireless (2022),cat-2,16-05-2023,640.78
p-94,Beats Studio3 Wireless (Pro),cat-2,28-04-2020,574.77
p-95,Beats Studio3 Wireless (Max),cat-2,21-12-2016,862.39
